Q#,Question Preview,Trap Codes,Complexity,Priority,Multi-Trap,Correct,Study Focus
1,Alice runs a small online retail company; many of her customers are from the United,ABS,🔵 LOW,HIGH,No,,Eliminate absolute language
2,"According to the (ISC)2 ethics policy, complaints must be submitted ________.",ETHIC,🟢 MEDIUM,CRITICAL,No,,Concept understanding
3,The business impact analysis (BIA) should consider all of the following except:,NEG | ABS,🔴 HIGH,CRITICAL,⚠️ YES,,Drill pattern combinations
4,The _______ is the length of time an organization can suffer the loss of its critical path,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
5,Which of the following security instruction options offers the most potential for real-time,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
6,"Which of the following is a formal, detailed description of the responsibilities between an",CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
7,Which of the following is promulgated by senior management and outlines the,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
8,Which of the following entities is the individual human associated with a particular set of,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
9,Organizations in which of the following countries are not allowed to process EU citizen,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
10,Which of the following is not a common trait of DRM solutions?,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
11,All of the following are common intellectual property licensing options except:,NEG | ABS,🔴 HIGH,CRITICAL,⚠️ YES,,Drill pattern combinations
12,What is the term for the criminal practice of extorting victims by encrypting their data?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
13,Which of the following is not a common facet of data privacy laws?,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
14,Which of the following is the American law governing protection of medical-related,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
15,Which of the following is not an industry standard for data security?,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
16,Which of the following is a contractual industry standard?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
17,"Which of the following enforcement mechanisms is best used for regularly occurring,",CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
18,Which of the following is not included in the STRIDE threat model? Which of the following,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
19,Which of the following is not a common audit methodology?,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
20,Which of the following is not a common security control category?,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
21,"In security management, the need-to-know element should be provided by the",CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
22,How can an asset classification program enhance access controls?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
23,The main benefit of a data classification program is,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
24,The network security administrator has submitted her request to implement additional,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
25,The role of the information custodian should not include which of the following?,NEG | ROLE,🔴 HIGH,CRITICAL,⚠️ YES,,Drill pattern combinations
26,Privileged users should be subject to periodic recertification to maintain the level of,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
27,Asset classification is the accountability of the,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
28,The correct amount of security is dictated by,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
29,"When establishing the value of information, the least important factor is",NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
30,Who normally operates technology systems?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
31,Which of the following is the BEST definition of a baseline?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
32,Which of the following is the BEST method for destroying data on magnetic media without,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
33,The decision to encrypt information over a network is driven by,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
34,What is the proper method of disposing of data on optical media?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
35,Information ethics and compliance deem that an organization has an obligation to protect,ETHIC,🟢 MEDIUM,CRITICAL,No,,Concept understanding
36,Which of the following is a key responsibility of the custodian of data?,ROLE,🟢 MEDIUM,CRITICAL,No,,Match role to action
37,"When personal data is maintained about a natural or legal person, that person is defined",ETHIC,🟢 MEDIUM,CRITICAL,No,,Concept understanding
38,Which of the following needs to be intelligible with end-to-end encryption?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
39,An advantage of link encryption in a network might be,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
40,Which of the following is the BEST definition of data remanence?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
41,The four types of system and system security engineering processes are:,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
42,The Bell–LaPadula (BLP) security model is an example of a security model that is focused,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
43,Three types of security controls are:,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
44,The process of customizing security controls to fit the specific security needs of a,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
45,Which of the following are security capabilities integrated to some extent into most major,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
46,A TPM is a _________________ component known as the _________________________.,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
47,Software as a service (SaaS) is considered to be what type of system?,SCOPE,🟢 MEDIUM,HIGH,No,,Cloud responsibility matrix
48,Select the best answer: A private cloud deployment:,SCOPE,🟢 MEDIUM,HIGH,No,,Cloud responsibility matrix
49,"Select the best system type based on the following characteristics: small form factor, low",ABS,🔵 LOW,HIGH,No,,Eliminate absolute language
50,"Select the system type most susceptible to the following vulnerabilities: loss, theft, weak",CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
51,Pick the best response. Site and facility design should include consideration for:,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
52,"Select the best response. When designing exterior lighting, you should consider:",CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
53,Select the best answer item from the list below. Two primary types of fire suppression,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
54,Select the best response from the lists below. Environmental issues to consider as part of,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
55,Encrypting a message with a private key in an asymmetric system provides?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
56,One of the largest disadvantages of symmetric key cryptography is?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
57,A hybrid cryptography system uses?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
58,Digital Signatures do not allow for?,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
59,The process of hiding characters of plaintext with non-cipher characters is referred to as?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
60,For what application would Electronic Code Book (ECB) mode of symmetric block ciphers,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
61,Hash collisions are?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
62,"Where parties do not have a shared secret, and large quantities of sensitive information",NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
63,You come into work on Monday and your workstation is booting up after being turned off,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
64,You are trying to use an external Domain Name System (DNS) server as a forward lookup,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
65,At what layer of the Open Systems Interconnection (OSI) model are segments,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
66,A Simple Network Management Protocol (SNMP) system is monitoring services and,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
67,What statement is true about software-defined networks (SDNs)?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
68,What is a benefit of Network Function Virtualization (NFV)?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
69,"A workstation has made a request to synchronize (SYN) with your workstation, and your",CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
70,Company X was on alert that they could be under attack after they referred to a baseline,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
71,What Voice over Internet Protocol (VoIP) concern is tied to variation of traffic timing?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
72,Two users are making decisions on how they want to create an IPSEC connection. Their,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
73,What is the tunneling in Layer 2 Tunneling Protocol (L2TP)?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
74,A user has need to keep their transmission contents secret from their computer to,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
75,A request has been made to a web application by means of a URL and within the request it,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
76,Which ISO document address the 7-layer OSI model?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
77,"A rogue wireless device has been found on a network, and the way it was discovered is",CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
78,Your organization has made the decision to implement a software-defined network (SDN).,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
79,Your organization must still manage a Multiprotocol Label Switching (MPLS) network while,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
80,Which “Generation” of cellular service is being designed to accommodate software-,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
81,In which cellular service is each call encoded with a unique key?,ABS,🔵 LOW,HIGH,No,,Eliminate absolute language
82,In what attack can a user on one VLAN connect to another unauthorized VLAN via,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
83,Your organization maintains a wide range of intellectual property that includes digital,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
84,Which document specifies access control models as “formal presentations of the security,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
85,Which of the following could represent an identity management risk?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
86,"When the data owner manages classification of data, what control is being envisioned?",ROLE,🟢 MEDIUM,CRITICAL,No,,Match role to action
87,Which biometric reader has the most rapid authentication?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
88,What is Open Web Application Security Project (OWASP) Top 10 number 2 threat?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
89,The Digital Identity Guidelines of NIST SP 800-63-3 contain recommendations to support,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
90,A Credential Service Provider is responsible for,SCOPE,🟢 MEDIUM,HIGH,No,,Cloud responsibility matrix
91,What are the four components of Security Assertion Markup Language (SAML)?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
92,A claimant is asked to provide in-person proof of their identity. What minimum level of,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
93,Federation Assurance Level (FAL) refers to the strength of an assertion in a,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
94,NIST SP 800-63-3 enrollment process allows for credential production to made in the,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
95,An organization has various forms of intellectual property that are labeled as confidential,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
96,"Which of the following is a part of the creation, management, and disposal of system user",CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
97,NIST SP 800-145 defines three cloud service models. Which one of the three would,SCOPE,🟢 MEDIUM,HIGH,No,,Cloud responsibility matrix
98,What activity would represent an outcome of identity and access management,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
99,What role is authentication information based upon that is utilized during the identity,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
100,A primary goal of federated identity management (FIM) is to,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
101,"When Type I errors are equal to Type II errors on a biometric system, what state has been",CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
102,What scenario below represents multi-factor authentication?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
103,Your organization has system administrators that have management control of server,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
104,Vulnerability scanning could be used to determine_________.,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
105,A company is hosting a web front-end service that has users that access services from,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
106,What method should be used to test the thoroughness of the logic of code?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
107,What are proper considerations to make when selecting a testing method?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
108,Code-based testing is also known as ________,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
109,What would you recommend to the executive management of this company for being able,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
110,What action should be taken to address the perceived response of the employees at the,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
111,What would be a way to discern if the desired change is being achieved?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
112,What should be avoided in test output data?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
113,Which audit should be done to address the concern about the length of time the service,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
114,What audit should be done to provide assurance about the availability and confidentiality,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
115,What type of audit should be done on the service provider?,SCOPE,🟢 MEDIUM,HIGH,No,,Cloud responsibility matrix
116,Which trust services principles are most appropriate for the auditor to focus on?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
117,List examples of security awareness sources for an awareness program.,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
118,What control is specified in ISO 27002 concerning test data?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
119,Third-party assessments are ________,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
120,What is the primary purpose of a negative test?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
121,Interface testing can be used to __________,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
122,"Once code inspection is complete, what kind of software testing occurs?",CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
123,Which of the following terms is most associated with the concept of need-to-know?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
124,Which of the following is not true about privileged accounts?,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
125,Which of the following is not a benefit the organization realized from job rotation?,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
126,In which phase of the information lifecycle is data moved from the production,ORDER,🟢 MEDIUM,CRITICAL,No,,Concept understanding
127,What is usually the enforcement mechanism of a service-level agreement (SLA)?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
128,Which of the following is not typically reflected in the asset inventory?,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
129,All of the following departments typically will be represented on the Change Management,ABS,🔵 LOW,HIGH,No,,Eliminate absolute language
130,What should always be included in the patch process?,ABS,🔵 LOW,HIGH,No,,Eliminate absolute language
131,Patches should be tested ________.,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
132,Which of the following is a preventative measure to counter the possibility of lost/stolen,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
133,"Which of the following is not an acceptable, suggested practice in dealing with third-party",NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
134,One of the best benefits of anti-malware systems is _________.,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
135,Which of the following entities/activities is not usually involved in incident detection?,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
136,Which of the following is not one of the main variables affecting how an organization,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
137,All incident management actions should be __________.,ABS,🔵 LOW,HIGH,No,,Eliminate absolute language
138,Who should decide how an incident would be addressed?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
139,Which kind of investigation should be performed if the organization does not want to,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
140,Which of the following is used to ensure evidence collected is evidence presented to,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
141,Which of the following is not a trait expected of evidence presented to a court?,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
142,Which of the following is not a typical location for placement of an intrusion detection,NEG,🟢 MEDIUM,CRITICAL,No,,"Re-read, highlight negatives"
143,How should buffer overflow vulnerabilities be addressed?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
144,How is an interpreted language application different from a compiled language,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
145,Why is it important to build security into the application as opposed to adding it later?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
146,What is a common issue to consider regarding the cryptographic protection of data in,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
147,What are the reasons that testing applications with live data or testing in a production,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
148,What is the purpose of the Capability Maturity Model Integration for Development,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
149,What is the PRIMARY security issue with application backdoors?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
150,The primary key is used to uniquely identify records in a database. By adding additional,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
151,A database that uses pre-defined groupings of data that can only be accessed based upon,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
152,Which of the following database attacks describes an attack where the perpetrator uses,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
153,One of the most significant differences between the software development lifecycle,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
154,How can polyinstantiation be used to protect a sensitive database?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
155,Why does compiled code pose more of a security risk than interpreted code?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
156,Which framework allows organizations to evaluate their software process based on quality,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
157,The security of an application is most effective and economical in which of the following?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
158,Building security into the application begins at,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
159,Which of the following is MOST likely to cause long-term damage?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
160,Why is inference from a database an important security problem to address?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
161,What is the name of a malicious program that has the ability to infect both program files,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
162,Which of the following best characterizes a buffer overflow attack?,CONCEPT,🔵 LOW,MEDIUM,No,,Concept understanding
